355 292 10865 127 68 0 652
461 350 11638 124 56 0 298
1921 311 11358 119 48 0 497
4512 174 10696 126 49 0 453
169 382 10145 124 58 0 320
13936 408 10527 104 56 0 386
10457 360 12195 121 77 0 386
-420 345 235 126 49 0 364
33 370 -215 127 51 0 342
1343 366 290 114 53 0 386
2109 353 300 117 53 0 431
2801 355 255 126 56 0 431
3357 364 240 123 52 0 542
3914 345 222 126 68 0 386
4427 419 417 126 62 0 364
4475 453 1715 120 43 0 298
4463 424 2169 126 43 0 320
4254 417 3026 133 56 0 253
4099 418 3447 127 51 0 431
3161 475 4295 128 60 0 253
2767 421 4484 121 56 0 253
1902 409 4582 133 58 0 386
1445 402 4605 126 77 0 386
48 486 4632 136 58 0 298
17 422 3919 116 60 0 409
6 373 3300 121 66 0 453
-5 307 2752 123 58 0 409
-11 332 2170 123 53 0 431
1222 301 2849 119 58 0 409
5320 296 1583 144 69 0 475
6488 256 430 111 56 0 697
5402 304 438 124 77 0 519
6148 291 1622 130 77 0 231
4223 334 5359 126 60 0 475
5041 344 4518 121 77 0 431
8939 216 1998 0 35 117 342
10328 315 3517 120 66 0 497
10016 244 4363 133 77 0 386
9407 255 4869 134 77 0 364
11226 274 2421 128 73 0 453
7045 271 6261 131 77 0 542
8017 301 6929 141 77 0 519
6998 255 7982 134 77 0 675
6016 357 7233 133 77 0 564
4764 176 5925 141 80 0 497
5918 289 5511 128 77 0 209
3522 185 6430 109 60 0 453
177 286 4921 110 58 0 453
218 303 5402 102 52 0 409
156 369 7969 136 62 0 409
202 318 7612 126 56 0 364
6249 208 5922 114 77 0 320
157 326 9789 133 51 0 342
2358 433 4517 127 63 0 364
11096 261 5012 161 58 0 386
5 -280 216 147 79 0 453
13941 109 14200 90 0 0 586
-413 323 5506 0 68 155 808
1502 217 13818 62 29 4 453
2006 566 14131 0 7 195 874
3746 252 4807 120 59 0 519
2690 276 5478 0 66 126 342
2182 280 5481 0 80 175 542
224 199 6859 117 58 0 276
1677 201 7201 106 51 0 519
1642 223 7697 109 58 0 386
2863 203 7166 0 79 144 519
1998 226 6985 0 66 147 386
2597 264 8103 0 87 171 586
2186 220 8707 0 38 133 386
1556 257 8302 0 62 133 231
4089 224 7252 0 69 165 453
4536 196 6752 0 53 130 519
4432 172 7846 116 65 0 364
3980 207 8109 117 52 0 253
4096 170 8547 111 65 0 364
3445 224 8816 113 65 0 431
3538 158 8977 121 75 0 431
2944 224 9024 117 62 0 453
2946 242 9441 102 46 0 342
2815 205 9725 102 51 0 386
2207 224 10123 104 59 0 431
1490 218 9622 119 53 0 453
1408 348 8806 127 60 0 364
4641 145 3225 0 63 128 675
5769 209 3499 0 65 157 918
5947 294 1725 120 51 0 386
8331 348 1596 121 72 0 386
10314 267 2888 126 77 0 386
9069 108 4522 131 82 0 386
9082 61 3932 117 83 0 364
9727 131 3763 116 62 0 386
7817 213 5059 106 73 0 431
7614 176 5715 96 49 0 364
6216 276 4797 0 62 94 342
5932 309 5066 126 62 0 320
8655 269 4597 128 80 0 431
7861 247 3389 131 43 0 342
8042 236 3583 87 36 0 298
9196 191 515 160 63 0 941
8128 324 446 155 69 0 542
5088 321 2092 111 49 0 453
-67 340 1561 126 52 0 431
4368 463 2595 128 53 0 453
3590 207 7903 113 46 0 409
12001 342 3177 121 43 0 608
2874 284 11879 130 66 0 542
3317 271 11638 127 60 0 386
3667 271 10808 131 70 0 386
3632 136 7857 100 25 0 276
5386 228 6626 111 72 0 320
3931 166 10061 110 66 0 386
4634 198 9559 123 63 0 386
5051 128 10269 102 48 0 386
5927 185 9330 120 69 0 386
6012 183 8798 114 58 0 386
9803 165 5853 120 59 0 386
10523 204 5526 114 52 0 386
10922 38 3100 0 68 99 453
6492 284 5288 89 45 0 542
7120 190 4997 0 76 150 386
8848 254 3626 0 46 127 386
9055 245 3375 0 62 143 386
9539 196 3142 0 62 147 608
10330 171 2681 49 18 0 364
12637 171 7237 144 60 0 386
10647 183 2283 0 65 167 342
9610 226 2560 0 63 148 298
6937 305 1863 0 69 120 431
7249 186 2423 0 87 179 298
11708 221 3033 58 36 0 409
4522 121 8542 0 17 52 542
5895 43 9035 0 41 121 652
3392 137 11150 0 60 131 586
7821 217 6655 66 36 0 409
6844 196 3763 103 56 0 364
7352 248 3854 148 58 0 630
6742 217 5184 106 38 0 652
8001 196 2533 174 69 0 652
3135 328 5102 128 60 0 342
9061 204 2542 0 49 128 386
9755 366 9103 104 49 0 386
9477 259 10286 104 49 0 386
9070 312 6451 102 38 0 453
962 408 145 120 60 0 453
2516 256 5987 0 72 184 386
5248 243 6412 85 51 12 320
10960 154 2769 0 43 90 253
