3
355 292 10865 127 68 0 0 0 0 20 652 1 1.000000
461 350 11638 124 56 0 0 0 0 20 298 1 1.000000
1921 311 11358 119 48 0 0 0 0 20 497 1 1.000000
4512 174 10696 126 49 0 0 0 0 20 453 1 1.000000
169 382 10145 124 58 0 0 0 0 20 320 1 1.000000
13936 408 10527 104 56 0 0 0 0 20 386 1 1.000000
10457 360 12195 121 77 0 0 0 0 20 386 1 1.000000
-420 345 235 126 49 0 0 0 0 20 364 1 1.000000
33 370 -215 127 51 0 0 0 0 20 342 1 1.000000
1343 366 290 114 53 0 0 0 0 20 386 1 1.000000
2109 353 300 117 53 0 0 0 0 20 431 1 1.000000
2801 355 255 126 56 0 0 0 0 20 431 1 1.000000
3357 364 240 123 52 0 0 0 0 20 542 1 1.000000
3914 345 222 126 68 0 0 0 0 20 386 1 1.000000
4427 419 417 126 62 0 0 0 0 20 364 1 1.000000
4475 453 1715 120 43 0 0 0 0 20 298 1 1.000000
4463 424 2169 126 43 0 0 0 0 20 320 1 1.000000
4254 417 3026 133 56 0 0 0 0 20 253 1 1.000000
4099 418 3447 127 51 0 0 0 0 20 431 1 1.000000
3161 475 4295 128 60 0 0 0 0 20 253 1 1.000000
2767 421 4484 121 56 0 0 0 0 20 253 1 1.000000
1902 409 4582 133 58 0 0 0 0 20 386 1 1.000000
1445 402 4605 126 77 0 0 0 0 20 386 1 1.000000
48 486 4632 136 58 0 0 0 0 20 298 1 1.000000
17 422 3919 116 60 0 0 0 0 20 409 1 1.000000
6 373 3300 121 66 0 0 0 0 20 453 1 1.000000
-5 307 2752 123 58 0 0 0 0 20 409 1 1.000000
-11 332 2170 123 53 0 0 0 0 20 431 1 1.000000
1222 301 2849 119 58 0 0 0 0 20 409 1 1.000000
5320 296 1583 144 69 0 0 0 0 20 475 1 1.000000
6488 256 430 111 56 0 0 0 0 20 697 1 1.000000
5402 304 438 124 77 0 0 0 0 20 519 1 1.000000
6148 291 1622 130 77 0 0 0 0 20 231 1 1.000000
4223 334 5359 126 60 0 0 0 0 20 475 1 1.000000
5041 344 4518 121 77 0 0 0 0 20 431 1 1.000000
8939 216 1998 0 35 117 0 0 0 20 342 1 1.000000
10328 315 3517 120 66 0 0 0 0 20 497 1 1.000000
10016 244 4363 133 77 0 0 0 0 20 386 1 1.000000
9407 255 4869 134 77 0 0 0 0 20 364 1 1.000000
11226 274 2421 128 73 0 0 0 0 20 453 1 1.000000
7045 271 6261 131 77 0 0 0 0 20 542 1 1.000000
8017 301 6929 141 77 0 0 0 0 20 519 1 1.000000
6998 255 7982 134 77 0 0 0 0 20 675 1 1.000000
6016 357 7233 133 77 0 0 0 0 20 564 1 1.000000
4764 176 5925 141 80 0 0 0 0 20 497 1 1.000000
5918 289 5511 128 77 0 0 0 0 20 209 1 1.000000
